BveTs Vehicle Performance Table 1.00,,,,,
#,f,,,,
#,1,2,3,4,5
#,p1f,p2f,p3f,p4f,p5f
0,13485,41201,41370,41370,49430
1,13485,41201,41370,41370,49430
2,13485,41201,41370,41370,49430
3,13485,41201,41370,41370,49430
4,13485,41201,41370,41370,49430
5,13485,41201,41370,41370,49430
6,13485,41201,41370,41370,49430
7,13485,41201,41370,41370,49430
8,13485,41201,41370,41370,49430
9,13049.3,41201,41370,41370,49430
10,11259.7,41201,41370,41370,49430
11,9853.2,41201,41370,41370,49430
12,8723.1,41201,41370,41370,49430
13,7798.4,41201,41370,41370,49430
14,7029.8,41201,41370,41370,49430
15,6382.6,41201,41370,41370,49430
16,5831.2,41201,41370,41370,49430
17,5356.7,41201,41370,41370,49430
18,4944.7,41201,41370,41370,49430
19,4584.3,40416.7,41370,41370,49430
20,4266.6,37616.1,41370,41370,49430
21,3984.9,35132.5,41370,41370,49430
22,3733.6,32917.3,41370,41370,49430
23,3508.4,30931.2,41370,41370,49430
24,3305.4,29142.1,41370,41370,49430
25,3121.8,27523.3,41370,41370,49430
26,2955,26052.7,41370,41370,49430
27,2803,24711.9,41370,41370,49430
28,2663.8,23485.2,41370,41370,49430
29,2536.1,22359.3,41370,41370,49430
30,2418.6,21322.9,41370,41370,49430
31,2310,20366.2,41370,41370,47835.5
32,2209.6,19480.8,41370,41370,46340.6
33,2116.4,18659.3,41370,41370,44936.4
34,2029.8,17895.6,41370,41370,43614.7
35,1949.1,17183.9,41370,41370,42368.6
36,1873.7,16519.3,41091.2,41370,41191.7
37,1803.2,15897.7,39113.8,40251.9,40078.4
38,1737.1,15315.1,37280.6,39192.6,39023.7
39,1675.1,14768.1,35577.6,38187.7,38023.1
40,1616.7,14253.8,33992.7,37233,37072.5
41,1561.8,13769.5,32514.9,36324.9,36168.3
42,1510,13312.7,31134.7,35460,35307.1
43,1461.1,12881.3,29843.5,34635.3,34486
44,1414.8,12473.3,28633.8,33848.2,33702.3
45,1371,12087,27498.6,33096,32953.3
46,1329.4,11720.7,26431.9,32376.5,32237
47,1290,11373.1,25428.3,31687.7,31551.1
48,1252.5,11042.8,24482.7,31027.5,30893.8
49,1216.9,10728.6,23590.7,30394.3,30263.3
50,1183,10429.4,22748.2,29786.4,29658
51,1150.6,10144.2,21951.6,29202.4,29076.5
52,1119.7,9872.1,21197.6,28640.8,28517.3
53,1090.3,9612.4,20483.1,28100.4,27979.2
54,1062.1,9364.1,19805.4,27580,27461.1
55,1035.2,9126.6,19162,27078.5,26961.8
56,1009.4,8899.2,18550.5,26595,26480.4
57,984.7,8681.4,17968.8,26128.4,26015.8
58,961,8472.6,17415,25677.9,25567.2
59,938.3,8272.2,16887.3,25242.7,25133.9
60,916.5,8079.9,16384,24822,24715
